price_date,close_price,dma_10,dma_50,dma_200,ema_12,ema_26,ema_diff,ema_macd_9,signalstrength1,signalstrength2
2012-02-28,30.97,30.288,28.8942,,30.2785,29.8284,0.450096,0.47075,4.38751862683168,4.58885551741673
2012-02-27,30.63,30.214,28.7832,,30.1528,29.7371,0.41564,0.475914,12.6648481862778,14.5014326113393
2012-02-24,29.79,30.138,28.6776,,30.066,29.6657,0.400274,0.490982,18.4747546863291,22.6613911006914
2012-02-23,30.25,30.178,28.5986,,30.1162,29.6558,0.460388,0.513659,10.3708836078378,11.5708868114477
2012-02-22,30.2,30.177,28.5226,,30.0919,29.6083,0.483612,0.526977,8.22896971950879,8.9668490092762
2012-02-21,30.56,30.144,28.4336,,30.0723,29.561,0.511259,0.537818,4.93830717895817,5.19484456084194
2012-02-17,30.69,30.069,28.3542,,29.9836,29.4811,0.50252,0.544458,7.70271289573805,8.34554637238343
2012-02-16,29.98,30.024,28.2644,,29.8552,29.3844,0.47084,0.554942,15.1549534793174,17.8619189932592
2012-02-15,29.78,29.977,28.1906,,29.8325,29.3367,0.49588,0.575967,13.9047964395787,16.1504890685581
2012-02-14,30.03,29.949,28.1076,,29.8421,29.3012,0.540867,0.595989,9.24878805732037,10.1913658884931
2012-02-13,30.23,29.818,28.0112,,29.8079,29.2429,0.565067,0.609769,7.3308687398707,7.91079903327505
2012-02-10,29.87,29.67,27.915,,29.7312,29.1639,0.567343,0.620944,8.63218665756422,9.44773256771704
2012-02-09,30.19,29.593,27.791,,29.706,29.1074,0.598593,0.634344,5.63597189765967,5.97258511638281
2012-02-08,30.24,29.43,27.662,,29.618,29.0208,0.597158,0.643282,7.17003810337957,7.72384040334352
2012-02-07,29.87,29.375,27.5194,,29.5049,28.9233,0.581551,0.654813,11.1883491872252,12.5978394555592
2012-02-06,29.81,29.39,27.3784,,29.4385,28.8476,0.59086,0.673129,12.2217945322449,13.9234955500822
2012-02-03,30.24,29.449,27.2526,,29.3709,28.7706,0.600266,0.693696,13.4684580996111,15.5647961469534
2012-02-02,29.51,29.427,27.1232,,29.2129,28.6531,0.559767,0.717053,21.9351363572887,28.0986033072213
2012-02-01,29.5,29.44,27.0184,,29.1589,28.5846,0.574286,0.756375,24.0739478432509,31.7070981032313
2012-01-31,28.72,29.463,26.9134,,29.0969,28.5114,0.585487,0.801897,26.9872478798621,36.9623758812108
2012-01-30,28.75,29.523,26.8294,,29.1654,28.4947,0.670654,0.856,21.6524977909366,27.6364876740535
2012-01-27,29.1,29.559,26.7516,,29.2409,28.4743,0.766626,0.902336,15.0397732853705,17.7021341243441
2012-01-26,28.56,29.56,26.663,,29.2665,28.4242,0.842373,0.936263,10.0281387431022,11.1458611648243
2012-01-25,29.69,29.616,26.5962,,29.395,28.4133,0.981697,0.959735,-2.28838925142881,-2.23719355459187
2012-01-24,30.02,29.538,26.4956,,29.3414,28.3112,1.03018,0.954244,-7.9579086443236,-7.37130678451877
2012-01-23,30.4,29.416,26.3866,,29.218,28.1745,1.04347,0.93526,-11.5701356416383,-10.3702801606349
2012-01-20,30.02,29.221,26.3002,,29.0031,27.9965,1.00661,0.908207,-10.8349824790437,-9.77577858244561
2012-01-19,29.64,29.072,26.1996,,28.8182,27.8346,0.983585,0.883606,-11.3149531061702,-10.1648096598291
2012-01-18,29.73,28.916,26.1062,,28.6688,27.6902,0.978569,0.858611,-13.9712303181617,-12.258558830294
2012-01-17,29.32,28.738,26.019,,28.4758,27.527,0.948755,0.828621,-14.4981490722127,-12.6623436183836
2012-01-13,29.11,28.515,25.9306,,28.3223,27.3836,0.938704,0.798587,-17.5455270796465,-14.9265799520879
2012-01-12,29.11,28.333,25.833,,28.1791,27.2455,0.933599,0.763558,-22.2695874541124,-18.2135132029215
2012-01-11,29.12,28.087,25.7578,,28.0098,27.0963,0.913549,0.721048,-26.6974181836248,-21.0717933848752
2012-01-10,28.91,27.889,25.7052,,27.808,26.9344,0.873617,0.672923,-29.824165765483,-22.9727382337722
2012-01-09,28.8,27.73,25.6566,,27.6076,26.7763,0.831303,0.62275,-33.4889354580751,-25.0874241697679
2012-01-06,28.45,27.529,25.5846,,27.3908,26.6144,0.776434,0.570612,-36.0704812167708,-26.5086746913959
2012-01-05,28.53,27.327,25.5156,,27.1982,26.4675,0.730738,0.519156,-40.7548267227126,-28.9544789842267
2012-01-04,28.08,27.079,25.4638,,26.9561,26.3025,0.653639,0.466261,-40.1874451505934,-28.6669359780563
2012-01-03,27.95,26.759,25.417,,26.7518,26.1603,0.591482,0.419416,-41.0250446964066,-29.0906092493881
2011-12-30,27.09,26.518,25.362,,26.5339,26.0171,0.516777,0.3764,-37.2945697489963,-27.1639073687901
2011-12-29,27.29,26.327,25.3128,,26.4328,25.9313,0.501467,0.341306,-46.9257625693134,-31.9384168907585
2011-12-28,26.65,26.14,25.273,,26.2769,25.8226,0.454338,0.301266,-50.8096007344089,-33.6912242237746
2011-12-27,27.14,26.01,,,26.2091,25.7564,0.452757,0.262998,-72.1523416775244,-41.9119141653502
2011-12-23,27.32,25.88,,,26.0399,25.6457,0.394114,0.215558,-82.8340990330816,-45.3056073627129
2011-12-22,26.79,25.793,,,25.8071,25.5118,0.295349,0.170919,-72.8002293245449,-42.1297064298538
2011-12-21,26.43,25.689,,,25.6284,25.4095,0.218903,0.139812,-56.5694666441996,-36.1305865419803
2011-12-20,26.05,25.705,,,25.4827,25.3279,0.154869,0.120039,-29.0160674726099,-22.4902743053845
2011-12-19,24.88,25.72,,,25.3796,25.2701,0.109478,0.111331,1.66423212290097,1.6923975465173
2011-12-16,25.54,25.861,,,25.4704,25.3013,0.169149,0.111794,-51.304699367619,-33.908199535142
